sample_code,sample_nr,group,day0_leaves,day7_leaves,day14_leaves,day21_leaves,day28_leaves,day35_leaves,day42_leaves,day42_deadleaves,day49_leaves,day49_deadleaves,day28_TotalLeafArea_cm2)8,file_name
s001,1,A,3,4,6,10,12,14,14,2,14,2,0.683,img_s001
s002,2,A,2,4,6,6,7,8,8,1,8,1,0.464,img_s002
s003,3,C,2,5,5,6,6,6,6,0,7,1,0.288,img_s003
s004,4,A,2,4,4,7,6,8,7,1,7,1,0.234,img_s004
s005,5,C,2,4,5,4,6,6,6,0,8,1,0.302,img_s005
s006,6,C,2,4,5,5,6,6,6,0,7,0,0.211,img_s006
s007,7,A,2,6,7,10,10,10,10,1,10,2,0.472,img_s007
s008,8,C,2,5,7,9,10,10,10,0,10,0,0.612,img_s008
s009,9,C,2,4,6,6,6,7,7,0,7,1,0.275,img_s009
s010,10,A,3,6,5,10,19,27,33,0,32,0,1.363,img_s010
s011,11,C,1,2,3,3,3,3,4,1,4,1,0.157,img_s011
s012,12,A,3,5,6,6,5,11,6,2,6,1,0.226,img_s012
s013,13,A,3,6,4,8,11,9,9,1,12,1,0.648,img_s013
s014,14,C,3,6,8,8,9,10,10,2,11,2,0.396,img_s014
s015,15,C,2,4,4,4,5,9,6,0,6,0,0.198,img_s015
s016,16,C,2,4,5,6,7,6,7,1,8,3,0.44,img_s016
s017,17,C,2,2,4,5,9,7,7,0,7,0,0.339,img_s017
s018,18,A,2,4,6,7,9,9,9,1,10,1,0.425,img_s018
s019,19,C,2,3,3,4,4,4,4,0,8,1,0.149,img_s019
s020,20,C,2,6,6,8,9,9,9,1,10,1,0.311,img_s020
s021,21,A,2,2,3,4,6,6,7,1,7,1,0.247,img_s021
s022,22,C,2,4,4,5,6,6,6,0,6,0,0.262,img_s022
s023,23,A,3,3,3,5,5,4,5,1,5,1,0.22,img_s023
s024,24,C,3,4,5,7,7,10,8,1,9,1,0.208,img_s024
s025,25,C,2,3,5,6,6,6,6,0,7,0,0.27,img_s025
s026,26,A,3,6,8,11,12,13,13,1,14,3,0.939,img_s026
s027,27,C,3,8,10,10,10,11,11,0,12,1,0.415,img_s027
s028,28,C,3,6,6,9,11,10,11,1,10,1,0.546,img_s028
s029,29,C,3,6,7,8,8,8,9,1,9,1,0.285,img_s029
s030,30,C,3,6,7,7,8,10,9,1,9,1,0.493,img_s030
s031,31,C,3,5,5,5,7,11,10,0,11,1,0.256,img_s031
s032,32,A,2,7,10,15,23,25,25,2,25,2,1.29,img_s032
s033,33,A,2,5,6,9,9,8,9,1,9,2,0.512,img_s033
s034,34,A,3,5,6,7,7,7,8,2,8,1,0.302,img_s034
s035,35,C,2,2,6,7,7,7,8,0,9,0,0.437,img_s035
s036,36,A,3,4,7,8,8,9,9,1,9,2,0.541,img_s036
s037,37,C,2,3,3,4,4,4,5,0,5,0,0.178,img_s037
